Año,Min,FG %,3PT%,FT%,Receptions,Assists,BLK(Tapones),STL(Recoveries),PF(Personal Faults),TO(Ball Lost),PTS_next_match,WinBinary,LocalPoints,VisitorPoints,LebronTeamPoints,OtherTeamPoints,Local_Binary,FG_made,FG_attempted,FT_made,FT_attempted,3PTS_made,3PTS_attempted,AñoMes,3PT%_rolling_mean_4,3PTS_attempted_rolling_mean_4,3PTS_made_rolling_mean_4,Assists_rolling_mean_4,Año_rolling_mean_4,BLK(Tapones)_rolling_mean_4,FG %_rolling_mean_4,FG_attempted_rolling_mean_4,FG_made_rolling_mean_4,FT%_rolling_mean_4,FT_attempted_rolling_mean_4,FT_made_rolling_mean_4,LebronTeamPoints_rolling_mean_4,LocalPoints_rolling_mean_4,Local_Binary_rolling_mean_4,OtherTeamPoints_rolling_mean_4,PF(Personal Faults)_rolling_mean_4,Receptions_rolling_mean_4,STL(Recoveries)_rolling_mean_4,TO(Ball Lost)_rolling_mean_4,VisitorPoints_rolling_mean_4,WinBinary_rolling_mean_4,three_point_ratio,free_throw_ratio,lebron_team_points_ratio,three_point_ratio_rolling_mean_4,free_throw_ratio_rolling_mean_4,lebron_team_points_ratio_rolling_mean_4
2018.0,33,0.588,0.5,0.75,10.0,5.0,0.0,1.0,4.0,6.0,11.0,0.0,116.0,98.0,116.0,98.0,0.0,10.0,17.0,3.0,4.0,2.0,4.0,2018-02,0.4035,4.75,2.25,12.25,2018.0,0.5,0.54125,19.75,10.75,0.5445,5.0,3.25,115.0,125.0,0.75,120.5,2.5,10.0,0.75,4.0,110.5,0.75,0.5,0.75,0.09482758620689655,0.4035714285714286,0.5446428571428572,0.21100090531058457
2018.0,31,0.3,0.5,1.0,9.0,9.0,1.0,2.0,0.0,2.0,24.0,0.0,120.0,88.0,120.0,88.0,0.0,3.0,10.0,4.0,4.0,1.0,2.0,2018-02,0.42850000000000005,4.0,2.0,12.0,2018.0,0.5,0.50375,17.25,9.25,0.65175,4.25,3.25,120.25,124.75,0.5,112.25,2.25,10.25,1.0,4.0,107.75,0.5,0.5,1.0,0.2,0.4285714285714286,0.6517857142857142,0.205445349755029
2018.0,38,0.381,0.16699999999999998,0.636,11.0,5.0,0.0,1.0,1.0,7.0,21.0,1.0,91.0,89.0,89.0,91.0,1.0,8.0,21.0,7.0,11.0,1.0,6.0,2018-01,0.47025000000000006,4.75,2.25,8.5,2018.0,0.5,0.499,17.5,9.25,0.5965,5.25,3.5,115.75,116.75,0.5,104.25,2.0,10.0,1.25,5.0,103.25,0.5,0.16666666666666666,0.6363636363636364,0.23595505617977527,0.4702380952380953,0.5965909090909091,0.17798551566913173
2018.0,38,0.45,0.28600000000000003,0.5,6.0,7.0,1.0,0.0,2.0,4.0,25.0,0.0,125.0,114.0,125.0,114.0,0.0,9.0,20.0,1.0,2.0,2.0,7.0,2018-01,0.36325,4.75,1.5,6.5,2018.0,0.5,0.42974999999999997,17.0,7.5,0.7215,5.25,3.75,112.5,113.0,0.25,97.75,1.75,9.0,1.0,4.75,97.25,0.25,0.2857142857142857,0.5,0.2,0.3630952380952381,0.7215909090909091,0.18269566059666795
2018.0,38,0.5329999999999999,0.25,0.889,8.0,14.0,0.0,1.0,0.0,3.0,26.0,1.0,121.0,104.0,104.0,121.0,1.0,8.0,15.0,8.0,9.0,1.0,4.0,2018-01,0.30075,4.75,1.25,8.75,2018.0,0.5,0.4159999999999999,16.5,7.0,0.75625,6.5,5.0,109.5,114.25,0.5,103.5,0.75,8.5,1.0,4.0,98.75,0.5,0.25,0.8888888888888888,0.25,0.3005952380952381,0.7563131313131313,0.22148876404494383
2018.0,40,0.647,0.0,0.8,10.0,11.0,1.0,4.0,0.0,11.0,28.0,1.0,115.0,108.0,108.0,115.0,1.0,11.0,17.0,4.0,5.0,0.0,2.0,2018-01,0.17575000000000002,4.75,1.0,9.25,2018.0,0.5,0.50275,18.25,9.0,0.70625,6.75,5.0,106.5,113.0,0.75,110.25,0.75,8.75,1.5,6.25,103.75,0.75,0.0,0.8,0.25925925925925924,0.17559523809523808,0.7063131313131313,0.2363035788597586
2018.0,38,0.435,0.33299999999999996,0.6,9.0,7.0,1.0,0.0,0.0,5.0,18.0,0.0,114.0,102.0,114.0,102.0,0.0,10.0,23.0,6.0,10.0,2.0,6.0,2018-01,0.21725,4.75,1.25,9.75,2018.0,0.75,0.51625,18.75,9.5,0.6972499999999999,6.5,4.75,112.75,118.75,0.5,113.0,0.5,8.25,1.25,5.75,107.0,0.5,0.3333333333333333,0.6,0.15789473684210525,0.21726190476190477,0.6972222222222222,0.2167884990253411
2018.0,38,0.47100000000000003,0.0,0.5,3.0,7.0,1.0,0.0,2.0,2.0,16.0,0.0,148.0,124.0,148.0,124.0,0.0,8.0,17.0,2.0,4.0,0.0,4.0,2018-01,0.14575,4.0,0.75,9.75,2018.0,0.75,0.5215,18.0,9.25,0.6972499999999999,7.0,5.0,118.5,124.5,0.5,115.5,0.5,7.5,1.25,5.25,109.5,0.5,0.0,0.5,0.10810810810810811,0.14583333333333331,0.6972222222222222,0.19381552605236815
2018.0,35,0.43799999999999994,0.0,0.25,5.0,6.0,0.0,1.0,1.0,6.0,32.0,1.0,104.0,103.0,103.0,104.0,1.0,7.0,16.0,2.0,8.0,0.0,4.0,2018-01,0.08324999999999999,4.0,0.5,7.75,2018.0,0.75,0.49774999999999997,18.25,9.0,0.5375,6.75,3.5,118.25,120.25,0.5,111.25,0.75,6.75,1.25,6.0,109.25,0.5,0.0,0.25,0.3106796116504854,0.08333333333333333,0.5375000000000001,0.2089854289649895
2018.0,36,0.667,0.0,0.615,8.0,6.0,4.0,3.0,3.0,8.0,27.0,0.0,118.0,108.0,118.0,108.0,0.0,12.0,18.0,8.0,13.0,0.0,2.0,2018-01,0.08324999999999999,4.0,0.5,6.5,2018.0,1.5,0.50275,18.5,9.25,0.49124999999999996,8.75,4.5,120.75,121.0,0.25,109.5,1.5,6.25,1.0,5.25,109.25,0.25,0.0,0.6153846153846154,0.2288135593220339,0.08333333333333333,0.4913461538461538,0.20137400398068317
2018.0,40,0.44,0.222,0.75,8.0,11.0,1.0,3.0,2.0,5.0,26.0,0.0,97.0,95.0,97.0,95.0,0.0,11.0,25.0,3.0,4.0,2.0,9.0,2018-01,0.0555,4.75,0.5,7.5,2018.0,1.5,0.504,19.0,9.5,0.5287499999999999,7.25,3.75,116.5,116.75,0.25,107.75,2.0,6.0,1.75,5.25,107.5,0.25,0.2222222222222222,0.75,0.26804123711340205,0.05555555555555555,0.5288461538461539,0.22891062904850737
